Generation,Cooperator Count,Interference Cost,Social Welfare
0,5076,8354.5,28030.0
1,4852,7166.5,54792.2
2,4726,7491.0,81014.8
3,4620,7425.0,106772.20000000001
4,4687,7172.0,132786.40000000002
5,4636,7100.5,158520.59999999998
6,4621,7188.5,184259.6
7,4626,6985.0,209929.40000000002
8,4581,7062.0,235466.40000000002
9,4622,7012.5,261162.80000000005
10,4569,6924.5,286576.4
11,4544,7287.5,311909.0
12,4529,7386.5,337251.0
13,4509,7480.0,362495.4
14,4576,7386.5,388023.60000000003
15,4614,7172.0,413762.0
16,4567,7480.0,439341.4
17,4627,7331.5,465139.6000000001
18,4579,7188.5,490682.0000000001
19,4542,7276.5,516019.20000000007
20,4588,7271.0,541631.8
21,4617,7408.5,567398.4000000001
22,4593,7227.0,593052.8
23,4518,7793.5,618426.4
24,4614,7447.0,644168.0
25,4658,7117.0,670036.8
26,4599,7194.0,695628.3999999999
27,4617,7172.0,721354.6
28,4543,7612.0,746805.8
29,4670,7144.5,772732.2000000001
30,4608,7392.0,798461.0
31,4639,6974.0,824283.8
32,4539,7447.0,849677.4000000001
33,4581,7480.0,875282.2000000002
34,4664,6968.5,901214.0
35,4572,7359.0,926785.8000000003
36,4605,7540.5,952521.2
37,4580,7458.0,978094.6000000001
38,4684,6913.5,1004066.8
39,4603,7216.0,1029684.0
40,4580,7408.5,1055284.8000000003
41,4667,7095.0,1081203.8
42,4649,7188.5,1107047.0
43,4589,7095.0,1132600.6
44,4619,7216.0,1158286.4
45,4681,6996.0,1184248.8
46,4555,7348.0,1209670.6
47,4622,7029.0,1235344.4
48,4610,6649.5,1260872.2000000002
49,4525,7485.5,1286167.8
